,,,,,
,Miscellaneous,Margin,,Sell Sub-total,
,Sub-total Cost,%,Amount,,
,=E23,0.05,=(B4/(100%-C4))-B4,=B4+D4,
,,,,,
,This sheet is free to edit but do not alter the top bar.,,,,
,,,,,
,,,,,
,Item,Qty,Unit Cost,Sub-total,
,Car Park (Monthly),,100,=C10*D10,
,Office Expenses (Allowance),,300,=C11*D11,
,Entertainment Expenses,,50,=C12*D12,
,Meals Allowance,,30,=C13*D13,
,Contract Works Insurance (as Prime),,6000,=C14*D14,
,Flight - Syd - Melb Return,,600,=C15*D15,
,Flight - Bris - Melb Return,,800,=C16*D16,
,Taxi Trip (to Syd Airport) - 1 Way,,90,=C17*D17,
,Accomodation Per Night,,250,=C18*D18,
,Per Diem Allowance,,70,=C19*D19,
,Taxi Trip (Melb Office to Airport) Ret,,130,=C20*D20,
,,,,=C21*D21,
,,,,,
,,,,=SUM(E9:E22),
,,,,,
